Author,Section,Question,Answer
Raw Text,2.1.1,What does the question mark /?/ mean?,the preceding character or nothing
Raw Text,2.1.1,"What signifies ""zero or one instances of the previous character""?",question mark
Raw Text,2.1.1,What does the question mark mean?,zero or one instances of the previous character
Raw Text,2.1.1,What is the question mark a way of specifying?,how many of something that we want
Raw Text,2.1.1,What does the language of certain sheep look like?,baa!
Raw Text,2.1.1,What does the language of certain sheep look like?,baaaa!
Raw Text,2.1.1,What does the language of certain sheep look like?,baa! baaa! baaaa!
Raw Text,2.1.1,What is the name of the string in the language of certain sheep?,b
Raw Text,2.1.1,"The set of operators that allows us to say things like ""some number of as"" are based on the asterisk or *, commonly called what",Kleene *
Raw Text,2.1.1,What does the Kleene star mean?,zero or more occurrences of the immediately previous character or regular expression
Raw Text,2.1.1,"What means ""any string of zero or more as""?",/a*/
Raw Text,2.1.1,What will /a*/ match?,match a or aaaaa
Raw Text,2.1.1,What is the regular expression for matching one or more a's?,/aa*/
Raw Text,2.1.1,What can also be repeated?,More complex patterns
Raw Text,2.1.1,What does /ab*/ mean?,zero or more right square braces
Raw Text,2.1.1,What will this match?,strings like aaaa or ababab or aabb
Raw Text,2.1.1,What is the regular expression for a single digit?,/[0-9]/
Raw Text,2.1.1,What is an integer?,a string of digits
Raw Text,2.1.1,What is the regular expression for a single digit?,/[0-9]*/
Raw Text,2.1.1,What is it like to have to write the regular expression for digits twice?,annoying
Raw Text,2.1.1,"What means ""one or more occurrences of the immediately preceding character or regular expression""?",Kleene +
Raw Text,2.1.1,The expression /[0-9]+/ is the normal way to specify what?,a sequence of digits
Raw Text,2.1.1,What are the two ways to specify the sheep language?,/baaa*!/ or /baa+!/
Raw Text,2.1.1,What is a wildcard expression that matches any single character except a carriage return?,the period
Raw Text,2.1.1,The wildcard is often used together with the Kleene star to mean what?,any string of characters
Raw Text,2.1.1,The wildcard is often used together with the Kleene star to mean what?,any string of characters
Raw Text,2.1.1,What is an example of a word that appears twice in a line?,aardvark
Raw Text,2.1.1,What is the regular expression used to specify this?,/aardvark
Raw Text,2.1.1,What are special characters that anchor regular expressions to particular places in a string?,Anchors
Raw Text,2.1.1,What are special characters that anchor regular expressions to particular places in a string?,Anchors
Raw Text,2.1.1,The caret  matches what?,the start of a line
Raw Text,2.1.1,What are the three uses of the caret?,"to match the start of a line, to indicate a negation inside of square brackets, and just to mean a caret"
Raw Text,2.1.1,What allows grep or Python to know which function a given caret is supposed to have?,contexts
Raw Text,2.1.1,What matches the end of a line?,The dollar sign $
Raw Text,2.1.1,What does /.$/ match a line that contains only the phrase The dog?,The dog
Raw Text,2.1.1,"What do we have to use in order to use the. to mean ""period"" and not the wildcard?",backslash
Raw Text,2.1.1,What do we want the backslash to mean?,period
Raw Text,2.1.1,What does /btheb/ match?,the but not the word other
Raw Text,2.1.1,"What is a ""word"" for the purposes of a regular expression defined as?","any sequence of digits, underscores, or letters"
Raw Text,2.1.1,What string does /b99b/ match?,99 in
Raw Text,2.1.1,What does /b99b/ match?,99 in $99
Raw Text,2.1.2,What are we particularly interested in when searching for texts about pets?,cats and dogs
Raw Text,2.1.2,What would we want to search for in a text about pets?,string cat or the string dog
Raw Text,2.1.2,"What can't we use to search for ""cat or dog""?",square brackets
Raw Text,2.1.2,What is the pipe symbol?,disjunction operator
Raw Text,2.1.2,What pattern matches either the string cat or the string dog?,/cat|dog/
Raw Text,2.1.2,What operator does the pattern /cat|dog/ match in the midst of a larger sequence?,disjunction operator
Raw Text,2.1.2,What do I want to search for for my cousin David?,pet fish
Raw Text,2.1.2,What can I specify when searching for information about pet fish for my cousin David?,guppy and guppies
Raw Text,2.1.2,What would match only the strings guppy and ies?,guppy|ies
Raw Text,2.1.2,What takes precedence over the disjunction operator?,sequences like guppy
Raw Text,2.1.2,What do we need to use to make the disjunction operator apply only to a specific pattern?,parenthesis operators
Raw Text,2.1.2,Enclosing a pattern in parentheses makes it act like what for the purposes of neighboring operators?,single character
Raw Text,2.1.2,What is the pattern /gupp?,y
Raw Text,2.1.2,What operator applies by default only to a single character?,Kleene*
Raw Text,2.1.2,What do we want to match with the Kleene* operator?,repeated instances of a string
Raw Text,2.1.2,What is the name of the column labels on a line that we want to match repeated instances of a string?,Column 1 Column 2 Column 3
Raw Text,2.1.2,What will the expression /Column [0-9] */ match?,a single column followed by any number of spaces
Raw Text,2.1.2,The star here applies only to what?,the space that precedes it
Raw Text,2.1.2,What expression could be written in parentheses to match the word Column?,/ (Column [0-9]+ *)*/
Raw Text,2.1.2,What formalizes the idea that one operator may take precedence over another?,operator precedence hierarchy
Raw Text,2.1.2,What is the order of RE operator precedence?,highest precedence to lowest precedence
Raw Text,2.1.2,What has a higher precedence than sequences?,counters
Raw Text,2.1.2,What has a higher precedence than disjunction?,sequences
Raw Text,2.1.2,What can be ambiguous in another way?,Patterns
Raw Text,2.1.2,"What expression could match nothing, or just the first letter o, on, one, or once?",/ [a-z]*/
Raw Text,2.1.2,What does /[a-z]*/ match?,zero or more letters
Raw Text,2.1.2,What do regular expressions say patterns are?,patterns are greedy
Raw Text,2.1.2,What qualifier is used to enforce non-greedy matching?,?
Raw Text,2.1.2,What is another way to enforce non-greedy matching?,qualifier
Raw Text,2.1.2,What is the operator *??,Kleene star
Raw Text,2.1.2,What is the operator *??,Kleene star
Raw Text,2.1.2,What is the operator +??,Kleene plus
Raw Text,2.1.2,What is the operator +??,Kleene plus
Raw Text,2.1.3,What English article would we want to find cases of?,the
Raw Text,2.1.3,What is a simple pattern for a RE to find cases of the English article the?,/the/
Raw Text,2.1.3,What is a problem with the /the/ pattern?,miss the word
Raw Text,2.1.3,What is the pattern that will miss the word when it begins a sentence?,/[tT]he/
Raw Text,2.1.3,What will we still return texts with?,embedded in other words
Raw Text,2.1.3,What does /b/ not treat as word boundaries?,underscores and numbers
Raw Text,2.1.3,What do we want?,instances in which there are no alphabetic letters on either side of the the
Raw Text,2.1.3,What is the problem with the pattern?,it won't find the word the when it begins a line
Raw Text,2.1.3,What implies that there must be some single (although non-alphabetic) character before the the?,the regular expression
Raw Text,2.1.3,What are two things we can avoid by specifying that before the the we require?,beginning-of-line or a non-alphabetic character
Raw Text,2.1.3,What are strings that we incorrectly matched like other or there?,false positives
Raw Text,2.1.3,What two kinds of errors come up again and again in implementing?,speech and language processing systems
Raw Text,2.1.3,What is one antagonistic effort to reduce the overall error rate for an application?,increasing precision
Raw Text,2.1.3,When will we come back to precision and recall with more precise definitions?,Chapter 4
Raw Text,2.1.4,What shows some aliases for common ranges?,Figure 2.8
Raw Text,2.1.4,Where can we use explicit numbers as counters?,curly brackets
Raw Text,2.1.4,What will match a followed by 24 dots followed by z (but not a followed by 23 or 25 dots followed by z)?,/a
Raw Text,2.1.4,What can also be specified?,A range of numbers
Raw Text,2.1.4,"/n,m/ specifies from what occurrences of the previous char or expression?",n to m
Raw Text,2.1.4,What are summarized in Fig. 2.9?,REs
Raw Text,2.1.4,Where are REs for counting summarized?,2.9
Raw Text,2.1.4,What are referred to by special notation based on the backslash?,special characters
Raw Text,2.1.4,Special characters are referred to by special notation based on what?,backslash
Raw Text,2.1.4,"To refer to characters that are special themselves, precede them with what?",a backslash
Raw Text,2.1.5,Let's try out a more significant example of the power of what?,REs
Raw Text,2.1.5,What do we want to help a user buy a computer on the Web?,build an application
Raw Text,2.1.5,What would a user want to buy a computer for?,$1000
Raw Text,2.1.5,What is the price of a Mac?,$999.99
Raw Text,2.1.5,What will we work out in the rest of this section?,simple regular expressions
Raw Text,2.1.5,What do we need to complete our regular expression for?,prices
Raw Text,2.1.5,What is the regular expression for a dollar sign followed by a string of digits?,/$[0-9]+/
Raw Text,2.1.5,What function does the $ character have a different function from?,end-of-line function
Raw Text,2.1.5,Most regular expression parsers are smart enough to realize that $ here doesn't mean what?,end-of-line
Raw Text,2.1.5,Who might figure out the function of $ from the context?,regex parsers
Raw Text,2.1.5,What do we now need to deal with?,fractions of dollars
Raw Text,2.1.5,What will we add after the decimal point and two digits?,a decimal point and two digits
Raw Text,2.1.5,What is the only price that this pattern allows?,$199.99
Raw Text,2.1.5,What do we need to do to make the cents optional?,make the cents optional
Raw Text,2.1.5,What would be far too expensive?,$199999.99
Raw Text,2.1.5,What would be far too expensive?,$199999.99
Raw Text,2.1.5,What do we need to do to limit prices like $199999.99?,limit the dollars
Raw Text,2.1.5,What do we need to allow for optional fractions?,disk space
Raw Text,2.1.5,How much disk space will we need to allow for optional fractions?,5.5 GB
Raw Text,2.1.5,What does / */ mean?,zero or more spaces
Raw Text,2.1.5,What does b/ mean?,*(GB|[Gg]igabytes?)
Raw Text,2.1.5,What is left as an exercise for the reader?,more than 500 GB
Raw Text,2.1.6,What is an important use of regular expressions?,substitutions
Raw Text,2.1.6,What substitution operator allows a string characterized by a regular expression to be replaced by another string?,s/colour/color
Raw Text,2.1.6,What do we want to put around all integers in a text?,angle brackets
Raw Text,2.1.6,What do we want to add to the first pattern?,brackets
Raw Text,2.1.6,What is the number operator used in the second pattern?,1
Raw Text,2.1.6,What can the parenthesis and number operators specify?,a certain string or expression must occur twice in the text
Raw Text,2.1.6,What is the pattern that we want to constrain the two X's to be the same string?,"the Xer they were, the Xer they will be"
Raw Text,2.1.6,How do we constrain the two X's to be the same string?,by surrounding the first X with the parenthesis operator
Raw Text,2.1.6,"What is the Xer they were, the Xer they will be?",1er they will be
Raw Text,2.1.6,What will the 1 be replaced by?,whatever string matched the first item in parentheses
Raw Text,2.1.6,What will the first item in parentheses match?,the bigger they were
Raw Text,2.1.6,What is the use of parentheses to store a pattern in memory called?,capture group
Raw Text,2.1.6,Where is the resulting match stored when a capture group is used?,numbered register
Raw Text,2.1.6,What does 2 mean if you match two sets of parentheses?,whatever matched the second capture group
Raw Text,2.1.6,What will the 1er we 2/ match?,faster they ran
Raw Text,2.1.6,What is the third capture group stored in?,3
Raw Text,2.1.6,What is used to group terms for specifying the order in which operators should apply?,Parentheses
Raw Text,2.1.6,"What do we sometimes want to use for grouping, but don't want to capture the resulting pattern in a register?",parentheses
Raw Text,2.1.6,How is a non-capturing group specified?,putting the commands
Raw Text,2.1.6,Where is a non-capturing group specified?,after the open paren
Raw Text,2.1.6,What is a non-capturing group specified by putting the commands?,pattern
Raw Text,2.1.6,What is a non-capturing group?,people|cats
Raw Text,2.1.6,What are very useful in implementing simple chatbots like ELIZA?,Substitutions and capture groups
Raw Text,2.1.6,What does ELIZA simulate?,Rogerian psychologist
Raw Text,2.1.6,What does ELIZA have a series or cascade of?,regular expression substitutions
Raw Text,2.1.6,What are input lines in ELIZA?,first uppercased
Raw Text,2.1.6,What do the first substitutions do?,"change all instances of MY to YOUR, and I'M to YOU ARE"
Raw Text,2.1.6,What happens to the next set of substitutions in ELIZA?,matches and replaces other patterns in the input
Raw Text,2.1.6,"In ELIZA, substitutions are assigned what?",rank
Raw Text,2.1.6,Creating patterns is the topic of what exercise?,Exercise 2.3
Raw Text,2.1.7,What do we do when we need to predict the future?,look ahead in the text
Raw Text,2.1.7,What syntax do lookahead assertions make use of?,(?
Raw Text,2.1.7,What do lookahead assertions use the (? syntax for?,non-capture groups
Raw Text,2.1.7,When is the operator (?= pattern) true?,if pattern occurs
Raw Text,2.1.7,"What happens if the operator (?= pattern) is true if pattern occurs, but is zero-width?",the match pointer doesn't advance
Raw Text,2.1.7,What operator returns true if a pattern does not match?,pattern
Raw Text,2.1.7,What operator returns true if a pattern does not match?,pattern
Raw Text,2.1.7,What is commonly used when we are parsing some complex pattern but want to rule out a special case?,Negative lookahead
Raw Text,2.1.7,What word would you want to match at the beginning of a line?,Volcano
Raw Text,2.1.7,"What do we use when we want to match, at the beginning of a line, any single word that doesn't start with ""Volcano",negative lookahead
Raw Text,2.1.7,"What is a word that doesn't start with ""Volcano""?",!Volcano
Raw Text,2.2,"Before we talk about processing words, we need to decide what?",what counts as a word
Raw Text,2.2,What is a computer-readable collection of text or speech called?,plural corpora
Raw Text,2.2,How many written English texts are in the Brown corpus?,500
Raw Text,2.2,When was the Brown corpus assembled?,1963-64
Raw Text,2.2,How many words are in the following Brown sentence?,How many words are in the following Brown sentence
Raw Text,2.2,What did Brown encounter when he stepped out into the hall?,water brother
Raw Text,2.2,How many words does the Brown sentence have if we don't count punctuation marks as words?,13
Raw Text,2.2,What is a comma called?,period
Raw Text,2.2,"Punctuation is critical for finding boundaries of things (commas, periods, colons) and identifying some aspects of meaning (question",comma
Raw Text,2.2,What is critical for finding boundaries of things?,Punctuation
Raw Text,2.2,Punctuation marks are sometimes treated as if they were separate words for what tasks?,part-of-speech tagging or parsing or speech synthesis
Raw Text,2.2,What corpus of American English telephone conversations between strangers was collected in the early 1990s?,Switchboard
Raw Text,2.2,What does the Switchboard corpus of spoken language not have?,punctuation
Raw Text,2.2,What is the main part of an utterance?,business data processing
Raw Text,2.2,How many kinds of disfluencies does an utterance have?,two
Raw Text,2.2,The broken-off word main- is called what?,a fragment
Raw Text,2.2,What are fillers called?,filled pauses
Raw Text,2.2,Fillers or filled pauses are considered to be what?,words
Raw Text,2.2,What determines whether fillers or filled pauses are words?,the application
Raw Text,2.2,"If we are building a speech transcription system, we might want to strip out what?",disfluencies
Raw Text,2.2,What do we sometimes keep around?,disfluencies
Raw Text,2.2,What disfluencies are helpful in speech recognition in predicting the upcoming word?,uh or um
Raw Text,2.2,What can be a cue to speaker identification?,different disfluencies
Raw Text,2.2,Who showed that uh and um have different meanings?,Clark and Fox Tree
Raw Text,2.2,What are uh and um like?,capitalized tokens
Raw Text,2.2,What are uh and um like?,capitalized tokens
Raw Text,2.2,What are capitalized tokens and uncapitalized tokens lumped together in?,speech recognition
Raw Text,2.2,What word has the same lemma cat but are different wordforms?,cats
Raw Text,2.2,What do cats and cat have the same?,lemma cat
Raw Text,2.2,"What is a set of lexical forms having the same stem, the same major part-of-speech, and the same word sense",A lemma
Raw Text,2.2,What is the word-form?,full inflected or derived form
Raw Text,2.2,"For morphologically complex languages like Arabic, we often need to deal with what?",lemmatization
Raw Text,2.2,What is sufficient for many tasks in English?,wordforms
Raw Text,2.2,How many words are there in English?,How many words
Raw Text,2.2,How many ways of talking about words are there in English?,two
Raw Text,2.2,What are tokens?,the total number N of running words
Raw Text,2.2,Where did the Browns picnic?,the pool
Raw Text,2.2,"When we speak about the number of words in the language, we are generally referring to what?",word types
Raw Text,2.2,What shows the rough numbers of types and tokens computed from some popular English corpora?,2.11
Raw Text,2.2,What shows the rough numbers of types and tokens computed from some popular English corpora?,2.11
Raw Text,2.2,What is the relationship between the number of types |V | and number of tokens N called?,Herdan's Law
Raw Text,2.2,Where is Herdan's Law shown?,Eq. 2.1
Raw Text,2.2,What are positive constants in Herdan's Law?,k and B
Raw Text,2.2,The value of B depends on what?,corpus size and the genre
Raw Text,2.2,What goes up significantly faster than the square root of its length in words?,vocabulary size
Raw Text,2.2,What is another measure of the number of words in English?,lemmas
Raw Text,2.2,Dictionaries can help in giving what?,lemma counts
Raw Text,2.2,How many entries were in the 1989 edition of the Oxford English Dictionary?,"615,000"
Raw Text,2.3,What doesn't appear out of nowhere?,Words
Raw Text,2.3,What is a specific dialect of?,language
Raw Text,2.3,When are NLP algorithms most useful?,when they apply across many languages
Raw Text,2.3,How many languages does the world have at the time of this writing?,7097
Raw Text,2.3,What language do NLP algorithms tend to be tested on?,English
Raw Text,2.3,What are some of the official languages of large industrialized nations?,"Chinese, Spanish, Japanese, German"
Raw Text,2.3,What do most languages have?,multiple varieties
Raw Text,2.3,What is the name for the many variations of language used by millions of people in African American communities?,African American Language
Raw Text,2.3,What social network might use features often used by speakers of African American Language?,Twitter
Raw Text,2.3,In what year did Blodgett and others study word segmentation?,2015
Raw Text,2.3,What is it called when a speaker or writer uses multiple languages in a single communicative act?,code switching
Raw Text,2.3,What is enormously common across the world?,Code switching
Raw Text,2.3,What is another dimension of variation?,genre
Raw Text,2.3,What types of texts do NLP algorithms have to process?,"newswire, fiction or non-fiction books, scientific articles, Wikipedia, or religious texts"
Raw Text,2.3,What are some examples of spoken genres?,"telephone conversations, business meetings, police body-worn cameras, medical interviews, or transcripts of television shows or movies"
Raw Text,2.3,What are some examples of work situations that NLP algorithms must process?,"doctors' notes, legal text, or parliamentary or congressional proceedings"
Raw Text,2.3,What can all influence the linguistic properties of the text we are processing?,"their age, gender, race, socioeconomic class"
Raw Text,2.3,What is important to consider when developing computational models for language processing from a corpus?,time
Raw Text,2.3,How does a corpus of texts from different historical periods change?,Language changes over time
Raw Text,2.3,"When developing computational models for language processing from a corpus, it's important to consider what?","who produced the language, in what context, for what purpose"
Raw Text,2.3,What is the best way for the creator to build a datasheet for each corpus?,data statement
Raw Text,2.3,What is the context of a corpus?,When and in what situation was the text written/spoken
Raw Text,2.3,What type of situation was the text written/spoken?,task
Raw Text,2.3,What is an example of a language used in a corpus?,monologue vs. dialogue
Raw Text,2.3,What language was the corpus in?,What language
Raw Text,2.3,What are the demographics of the authors of a text?,age or gender
Raw Text,2.3,What is the collection process of a corpus?,How big is the data
Raw Text,2.3,What was the data collected with?,consent
Raw Text,2.3,What is the collection process of a corpus?,"How was the data pre-processed, and what metadata is available"
Raw Text,2.3,What are the annotators?,demographics
Raw Text,2.3,What type of restrictions are there in relation to the distribution of a corpus?,intellectual property
Raw Text,2.4.0,"Before almost any natural language processing of a text, the text has to be what?",normalized
Raw Text,2.4.0,What is the term for segmenting words?,Tokenizing
Raw Text,2.4.0,How do we go through each of these tasks?,walk through
Raw Text,2.4.1,What was the inspiration for the UNIX command-line?,Church
Raw Text,2.4.1,What Unix command is used to change particular characters in input?,tr
Raw Text,2.4.1,What collapses and counts adjacent identical lines?,uniq
Raw Text,2.4.1,What is the name of the textfile that contains the 'complete words' of Shakespeare?,sh.txt
Raw Text,2.4.1,What type of characters can be changed to a newline with tr?,alphabetic
Raw Text,2.4.1,How many words per line can we sort?,one
Raw Text,2.4.1,The -n option to sort means to sort what rather than alphabetically?,numerically
Raw Text,2.4.1,What can be very handy in building quick word count statistics for any corpus?,Unix tools
Raw Text,2.4.2,What is the task of segmenting running text into words called?,tokenization
Raw Text,2.4.2,What did the Unix command sequence remove?,all the numbers and punctuation
Raw Text,2.4.2,What is a useful piece of information for parsers?,commas
Raw Text,2.4.2,What do most NLP applications want to keep in their tokenization?,punctuation that occurs word internally
Raw Text,2.4.2,What is the price of AT&T?,45.55
Raw Text,2.4.2,What is an example of an email address?,someone@cs.colorado.edu
Raw Text,2.4.2,"Commas are used inside numbers in English, every three digits: what?","555,500.50"
Raw Text,2.4.2,What do many continental European languages use to mark the decimal point?,comma
Raw Text,2.4.2,What can a tokenizer be used to expand clitic contractions that are marked by?,apostrophes
Raw Text,2.4.2,What is a part of a word that can't stand on its own?,A clitic
Raw Text,2.4.2,What are examples of clitic contractions in French?,articles and pronouns
Raw Text,2.4.2,What is required to tokenize multiword expressions like New York or rock 'n' roll as a single token?,multiword expression dictionary
Raw Text,2.4.2,Tokenization is intimately tied to what?,named entity recognition
Raw Text,2.4.2,What is the most commonly used tokenization standard?,Penn Treebank tokenization standard
Raw Text,2.4.2,What does the Penn Treebank tokenization standard do?,separates out clitics
Raw Text,2.4.2,Why is tokenization needed to be very fast?,tokenization needs to be run before any other language processing
Raw Text,2.4.2,What are deterministic algorithms compiled into?,finite state automata
Raw Text,2.4.2,What shows an example of a basic regular expression that can be used to tokenize with the nltk.regexp tokenize,Fig. 2.12
Raw Text,2.4.2,What language is the nltk.regexp tokenize function of?,Python
Raw Text,2.4.2,When did Bird and colleagues publish their work on the Python-based Natural Language Toolkit?,2009
Raw Text,2.4.2,What needs to be tokenized differently when used as a genitive marker?,apostrophe
Raw Text,2.4.2,What languages do not use spaces to mark potential word-boundaries?,"Chinese, Japanese, and Thai"
Raw Text,2.4.2,What are characters called in Chinese?,hanzi
Raw Text,2.4.2,What is a unit of meaning called?,a morpheme
Raw Text,2.4.2,How many characters long are words on average?,2.4
Raw Text,2.4.2,What is deciding what counts as a word in Chinese?,complex
Raw Text,2.4.2,"What is a sentence that could be treated as 3 words ('Chinese Treebank' segmentation): ""YaoMing ","""Yao Ming reaches the finals"""
Raw Text,2.4.2,"Who argued that the sentence ""Yao Ming reaches the finals"" could be treated as 3 words?",Chen et al.
Raw Text,2.4.2,"How many words could be treated as ""YaoMing reaches the finals""?",3
Raw Text,2.4.2,What is 'Yao Ming reaches overall finals' segmentation?,Peking University
Raw Text,2.4.2,What are the basic elements of a sentence in Chinese?,characters
Raw Text,2.4.2,For most Chinese NLP tasks it turns out to work better to take what as input?,characters
Raw Text,2.4.2,For what languages is a character too small a unit?,Japanese and Thai
Raw Text,2.4.2,What are algorithms for word segmentation useful for Chinese in the rare situations where word rather than words are required?,character boundaries
Raw Text,2.4.2,How are neural sequence models trained?,supervised machine learning
Raw Text,2.4.3,What option is there to tokenizing text?,third
Raw Text,2.4.3,"Instead of words, what can we use our data to tell us what the tokens should be?",characters
Raw Text,2.4.3,What is an important problem in language processing?,unknown words
Raw Text,2.4.3,What is a corpus that NLP algorithms learn from?,training corpus
Raw Text,2.4.3,What words do NLP algorithms learn from a training corpus?,"low, new, newer, but not lower"
Raw Text,2.4.3,What are sets of tokens that include tokens smaller than words called?,subwords
Raw Text,2.4.3,What can subwords be?,arbitrary substrings
Raw Text,2.4.3,What is the smallest meaning-bearing unit of a language?,morpheme
Raw Text,2.4.3,What is an example of a frequently occurring morpheme?,-er
Raw Text,2.4.3,What word can be represented by a sequence of known subword units?,lower
Raw Text,2.4.3,What are the two parts of most tokenization schemes?,"a token learner, and a token seg- menter"
Raw Text,2.4.3,What does the token learner induce?,a set of tokens
Raw Text,2.4.3,What takes a raw test sentence and segments it into the tokens in the vocabulary?,token segmenter
Raw Text,2.4.3,What is one of the three algorithms used by the token learner?,byte-pair encoding
Raw Text,2.4.3,What is the simplest of the three algorithms?,byte-pair encoding or BPE algorithm
Raw Text,2.4.3,What is the simplest of the three algorithms?,2.13
Raw Text,2.4.3,What does the BPE token learner begin with?,a vocabulary that is just the set of all individual characters
Raw Text,2.4.3,What is the new merged symbol added to the vocabulary?,AB
Raw Text,2.4.3,How many merges have been done creating k novel tokens?,k
Raw Text,2.4.3,The resulting vocabulary consists of the original set of characters plus how many new symbols?,k
Raw Text,2.4.3,Where is the BPE algorithm usually run?,inside words
Raw Text,2.4.3,What is the starting vocabulary of the BPE algorithm?,11
Raw Text,2.4.3,What is the most frequent pair of adjacent symbols?,e r
Raw Text,2.4.3,What is the most frequent pair of adjacent symbols?,er
Raw Text,2.4.3,What is the token parser used to do?,tokenize a test sentence
Raw Text,2.4.3,What just runs on the test data the merges we have learned from the training data?,The token parser
Raw Text,2.4.3,Why does the token parser run on the test data?,the frequencies in the test data don't play a role
Raw Text,2.4.3,What do we segment each test sentence word into?,characters
Raw Text,2.4.3,What is the first rule of the BPE algorithm?,replace every instance of er in the test corpus with r
Raw Text,2.4.3,What would be tokenized as a full word if the test corpus contained the word?,n e w e r
Raw Text,2.4.3,What new word would be merged into the two tokens low er?,l o w e r
Raw Text,2.4.3,How many merges are there in real algorithms?,thousands
Raw Text,2.4.3,What happens when BPE is run with thousands of merges on a very large input corpus?,most words will be represented as full symbols
Raw Text,2.4.4,What is the task of putting words/tokens in a standard format?,Word normalization
Raw Text,2.4.4,What is lost in the normalization process?,spelling information
Raw Text,2.4.4,What are two types of normalization that we might want to see information from documents whether they mention the US or the USA?,information retrieval or information extraction
Raw Text,2.4.4,What is another kind of normalization?,Case folding
